,33N,35N,36N,37N,42N,47N,54N,63N,64N,66N,77N,79N,84N,85N,86N,88N,92N,99N,100N,101N,107N,109N,110N,126N,2,4,5,6,7,8,10,12,13,14,23,24,25,27,29,49,50,69,70,71,72,73,90,93,98,106,114,112,115,118,119,120,121,34N,38N,39N,46N,53N,55N,56N,57N,58N,59N,62N,65N,67N,68,75N,78N,83N,89N,102N,103N,104N,108N,111N,1,16,18,21,41,48,51,60,74,91,94,97,113,117,122,Pool1,Pool1v2,Pool2,Pool2v2
Label,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,Pool,Pool,Pool,Pool
F239,2252806.587,841920.6906,1951020.538,206227.8745,1569105.357,892368.8245,850951.2691,805780.5997,2004207.969,2085236.445,1407002.435,1342262.32,1085070.581,810796.4944,2636015.53,338652.5734,835056.1399,1151607.182,1901093.373,655475.4122,5219691.36,726620.2377,3803773.248,1167820.375,943294.0013,852402.1185,467615.9766,1064924.002,625719.4037,1745098.043,1154049.981,1043165.946,2478421.451,2020193.516,1318724.227,1244202.341,860095.6176,3791279.395,1272619.412,2209046.437,1604852.54,2001120.791,722160.81,857228.6383,1994085.745,766501.5102,467110.5931,591713.171,429019.6118,2720210.536,1650194.123,3113854.981,1422699.161,2428629.705,1338960.904,1465352.518,3438740.973,697185.1522,1753240.727,758543.5248,911183.7591,2229686.873,164888.4567,1197939.762,1396860.865,1479335.841,1382168.525,382710.3528,907171.2125,689297.1554,2463949.798,2070017.909,1112658.006,787087.8311,1485268.927,3472913.577,2914113.628,4288163.24,1594974.267,2936161.229,552998.4586,891852.1343,1159470.835,831611.7185,1095870.253,3401719.998,1256770.032,2724692.832,1046144.98,623565.5185,840658.6708,5169371.308,3089664.622,1962602.328,1709236.821,1614630.31,820422.7419,1827955.873,1292186.549
F240,1399680.671,50442.47067,1034901.191,202530.6545,4122687.036,1516509.096,1131075.016,960362.0829,1235767.69,32891.4792,2218204.191,1837647.892,456454.9207,235875.826,1955032.807,120274.0878,1806105.1,1874459.098,1282225.487,106497.8966,394274.8829,82873.2768,1653192.713,389945.444,2232930.731,1321241.369,297120.8928,1927281.157,1623310.315,1636226.842,1657760.359,531032.4825,NA,NA,1261683.244,1060718.132,2208828.595,487689.8311,1347911.184,630231.3466,3588917.029,1562039.462,1309656.32,837715.9614,971022.1052,1945765.411,441457.0095,96665.14913,114593.583,1750555.893,1049934.32,1371470.233,815308.1693,53072.3414,2146136.808,179077.5911,136323.3844,1013274.99,1447014.251,532567.3091,646553.2538,1422475.513,39819.77486,1418680.727,1509605.985,228240.3012,925842.5629,726361.0023,791239.0825,159964.224,86444.29733,124978.8544,612893.1813,813594.5435,1996319.414,1289828.315,1252914.264,799032.2532,1401787.59,2721719.016,714413.8242,131814.4791,681497.5054,846154.8583,12774.72654,NA,1191535.001,1552974.927,931733.8698,70628.2752,1389886.508,NA,699837.1535,1300029.353,1177281.991,1793793.618,1459477.129,780003.9608,933085.1462
F241,841000.893,427148.0731,3387159.7,151771.3668,1394303.449,1236280.633,224116.6404,490946.5547,1627963.225,2123364.847,2248249.128,2671729.872,290102.6085,359746.856,1229398.81,272430.034,426373.5531,631420.7391,1298323.809,929630.6143,5503471.998,482581.1372,3623198.41,670730.1402,1242566.691,1839615.706,143924.2967,556914.3438,427946.2164,2604330.388,2208117.151,378659.1132,1379809.178,3563403.44,3572224.778,1157536.196,1712494.1,1015540.884,1836930.84,3530724.28,2095904.326,386812.2781,147981.5825,316751.6399,836906.5245,641981.5266,362534.5733,255245.6458,116031.2873,1389023.776,1738998.951,1555360.662,654797.78,1025001.893,1172531.998,727961.0941,3511972.717,421568.4554,1211675.271,221479.5473,1239243.143,1360287.61,453424.1565,1060787.123,1141374.986,2622179.555,894136.3969,330678.0743,525372.0783,163341.9063,1583342.88,866829.6531,2154972.963,1089017.468,67769.17659,1981168.148,2385671.838,3529019.04,3023926.659,3685943.771,102638.5252,557270.2987,493826.2051,404546.4181,703977.834,685058.3762,344989.3996,3548967.058,684470.6077,422258.5217,880133.5098,1121400.479,2730778.897,1239314.713,2476967.889,1181912.646,519912.4283,1092208.464,911050.7075
F242,4405623.571,693003.2327,1812153.23,142109.5325,413158.2,2123099.882,1609363.957,615222.5262,7034223.825,2154062.174,152231.9533,86452.805,4316924.469,114722.6586,1113106.997,173693.2071,89717.33571,1964945.729,2275652.761,1126473.295,1289852.341,365931.6757,1199737.226,206125.0515,576633.4769,633689.2251,86490.71633,1083152.81,250132.9111,97459.22225,342098.7234,193260.5756,1275984.945,2206802.55,422249.7675,202564.3758,944720.3734,430907.7297,1875555.473,768066.4076,1426915.016,865480.6939,535625.0268,866681.3115,477214.8452,1451210.298,824928.3194,902993.3746,294627.0489,888034.2948,1635643.297,519675.7358,290415.0925,684385.6598,57315.54667,596953.7917,2636384.431,264620.378,1349393.669,811642.8026,4916552.81,906521.6366,102687.4647,166454.6325,1130389.374,3915552.299,727640.42,5602.888504,1033821.578,1011942.543,674039.0128,158660.178,1300547.238,519169.3092,34327.16933,1699167.662,2035605.266,479101.6524,2845448.982,1557308.171,253148.1322,722234.5806,772112.3733,2074353.126,413441.6585,1361785.427,1360316.717,1205165.049,160090.9469,504264.9354,521425.8803,1231805.378,587984.7367,1367814.498,1113689.622,504191.4589,454842.6134,2234587.88,2055511.035
F243,1352527.827,2502855.819,832561.1093,492589.8196,1578952.669,1311081.262,1076544.38,805492.0463,1089372.097,2556445.762,2042363.893,1457084.129,1841612.922,779624.8319,1034032.114,797340.9928,800590.7371,1463250.123,1184948.916,1905065.615,1856562.739,1898650.012,1320301.128,1521662.128,608608.11,658514.8664,374160.6628,439404.1113,536921.4641,938226.8872,1296494.136,1379669.64,869026.7453,1578040.224,1171162.15,1744490.659,1544078.537,NA,2042252.186,2000714.723,1619929.762,971348.322,884034.6185,1189363.631,1165139.323,1845584.522,1366976.184,1138872.87,2164534.7,855991.3842,1671275.071,720109.9323,1549945.527,2279488.938,1295575.499,1973020.48,2422096.639,527908.6681,1359919.58,375392.7132,2152026.96,1912255.762,254853.3978,1395415.036,1460385.403,376679.0739,1099185.261,236103.0579,996710.0605,704642.2159,1033269.968,827400.7793,1176400.213,941059.1052,546297.1295,1950336.179,1551910.609,1124498.766,1775187.114,3003543.593,792529.125,272430.9108,1856310.475,741158.1622,1421534.728,1043207.306,1665399.973,2749834.027,646508.5452,1882083.287,1172395.585,746329.455,2885192.178,1188014.605,1522053.1,1483452.209,1357375.977,2160181.631,1886258.083
F244,600626.3582,527601.1868,511535.7317,375983.6754,150761.2289,109363.4289,75600.65071,2248891.971,563621.6898,149663.6733,91362.61783,190949.472,203155.0734,6785.665588,296130.0774,1384728.834,1958718.83,2492152.299,42898.00104,40316.109,891625.4609,642909.9616,472789.7425,9816.74705,163595.1413,144629.6255,416790.3894,4394145.02,88665.87086,228864.0512,132810.7371,NA,302201.8077,909767.7389,182080.4756,147018.8454,239708.9659,187129.7218,152812.66,303132.2889,184548.4684,53579.65867,3914624.604,85292.65875,178603.2066,5608854.759,1099408.999,70932.336,534174.285,63815.04398,151393.9636,197733.1906,1833455.796,141231.4533,184325.5266,107455.6778,256676.618,3967332.797,474389.9969,3618310.829,453673.5911,415283.5756,505082.5384,50450.7636,158642.2176,1026878.885,146872.8495,696689.4509,147744.7794,1974919.043,631334.0028,182632.6266,730101.5159,4053359.831,162953.7114,174044.2471,405868.7119,845840.1399,223840.8406,419832.4486,NA,3270039.192,2598198.409,4053523.011,61755.8376,178838.6956,70804.331,263530.9536,2904570.258,2290658.177,4852893.084,701920.3704,189658.8306,501515.454,282586.8833,54584.649,942563.1743,174665.4905,95993.20667
F245,977093.6544,476078.6911,479469.428,1119002.202,6410261.448,933517.5971,2827730.915,3474555.968,1695857.956,5324857.233,2467590.239,1931887.224,1354060.499,1241381.982,1149808.339,321767.0221,1333674.229,2547203.302,7622920.329,5832921.548,2400802.958,2051837.163,1540467.395,1868848.634,2209487.759,869629.4778,2061256.444,3609934.654,1288676.66,3801623.622,2574758.874,957888.384,5981010.221,992278.1748,1406298.188,2790610.692,428232.4284,18635.67148,6194292.42,1491234.572,827416.7796,1754272.279,2454302.776,2005824.457,2105695.121,1783797.946,3312720.945,6043424.075,462029.4092,1132177.459,2747239.722,744102.9927,774952.2263,5060330.031,3443813.183,1964636.27,1370580.076,1468308.546,999812.5626,2499955.287,6661701.248,1653092.458,1556138.025,4116475.915,3792384.359,501508.7485,1535612.204,3562463.07,450443.8386,4147962.776,641094.1733,463257.5344,3365321.843,1669078.96,432540.3637,1157972.414,2617080.998,1036470.704,4010766.41,4721711.255,1193255,429189.7008,950171.8242,1854086.412,428100.5759,3260920.404,745098.1698,1342969.682,1655610.007,3643983.734,364433.873,1077407.783,3099197.253,2869803.525,1752180.465,3831937.98,1422418.154,1723975.891,1262402.376
F246,2507953.515,112099.5902,1562220.241,76466.403,2071254.967,2816599.947,1417622.826,178157.034,36929.75111,106965.7689,2731809.2,3173467.437,2927686.194,81903.58425,2532369.929,78979.30473,44583.70444,3943471.886,4955459.795,72118.9884,133986.1639,2955113.408,2036557.987,77004.2172,2423135.938,87664.31418,118562.4792,2975850.636,1816230.88,2628751.815,56902.68025,3917928.801,4837660.966,2172223.113,2783322.608,82016.19625,138918.705,2103118.713,140569.9267,93900.248,80590.263,1777548.653,2456724.564,80135.776,2766940.589,90890.64267,104862.7932,3003870.715,97622.02252,5380667.401,67798.65692,75789.20444,68820.72444,177342.0805,115783.8284,3894645.174,2456928.972,43234.464,68677.5762,134247.0054,2402319.11,995584.6364,85761.60125,2143194.351,2222496.633,77918.202,68440.0998,108162.875,2459325.677,3276034.196,32995.2504,1747093.82,5086815.168,1691561.222,2490592.885,81119.63623,3727873.104,2628430.006,83411.61309,119025.7396,2765088.269,35339.57443,3057131.369,121779.7464,1958888.094,70578.43571,77130.9378,1966526.801,81174.85679,58293.17111,75079.38386,1907967.979,63249.5442,3271705.879,83782.2726,97599.807,2339588.474,3129071.212,94182.49483
F247,1635921.043,141794.6533,165021.8834,8726.11441,4688348.509,139315.8294,422785.5418,277957.8386,641671.9542,440691.5363,870588.6288,1235343.253,655021.1556,1634377.442,1904691.223,132441.0311,5557.524696,587340.003,3671804.784,352802.2489,1232801.99,233308.5894,1840455.675,249843.5473,39879.44015,596096.3289,57013.75838,NA,216505.7635,753959.6316,NA,1169268.085,332678.5786,7077460.503,103722.183,187882.0383,203972.1148,12709796.06,952900.5163,880429.2612,311513.6889,145931.2434,3468.537684,316562.8073,351133.8024,NA,576058.1638,54085.1965,136644.7188,1426153.292,1431229.353,2718946.13,288438.304,1208076.544,2127452.562,1461489.598,2229687.521,288218.5212,187980.8238,NA,263722.3809,4391214.997,68991.8832,5189519.233,637618.2157,534099.2722,1861350.382,116697.0956,1150753.249,182285.0886,1500459.846,1743500.924,649056.5859,831698.6706,5106530.88,1852351.257,421666.2888,7705478.502,332891.882,1361249.738,1849420.222,1408149.79,3167063.589,180021.3673,672057.642,3693323.22,242851.9825,5981806.249,729885.0553,71618.93838,5462816.306,1456895.36,2114678.45,1972228.397,2658317.7,1779494.396,940862.0393,956710.7473,624426.0734
F248,953964.1682,1739955.517,1460924.879,666685.4778,1450757.435,1205453.913,1303812.503,749501.1746,1881407.777,1834904.31,1998689.189,1190519.218,2008931.624,1062891.586,1176361.069,837808.7351,956458.213,1694599.922,2604435.308,1692237.868,1947469.571,1939795.395,1561271.629,1489517.463,558499.1059,1350129.118,373402.3689,455675.4268,597874.5224,1060087.806,1736000.983,1325031.14,1229789.68,2467697.187,1739513.241,1545676.835,1185502.117,185421.141,2803197.615,1764075.165,1410136.789,894342.2759,1181235.13,1048729.708,1870311.455,1724636.928,1399728.01,1628605.554,689204.1549,2684806.111,1578410.84,845655.5148,1226426.311,2071273.152,1816073.77,1405308.73,1987252.355,549155.3147,933640.0663,474489.99,2631852.413,1579478.486,946533.1273,1195538.27,1326141.057,487992.0482,867191.7414,171441.6755,939875.7356,742071.2428,960949.5506,827552.0772,1662684.086,976535.8842,389299.3012,1229570.98,1289666.669,1677333.43,1536216.394,2792880.12,648361.896,960886.1552,733399.5173,978696.4824,1603173.408,1003966.997,475018.3302,2519762.935,586675.4682,1610377.358,893583.4034,469456.9176,2066520.576,1120487.433,1028341.66,1677192.193,1156101.082,1793979.444,1621494.846
F249,658967.3667,520465.9549,889305.2148,1013424.143,5626893.461,1929148.369,1331562.37,1155061.051,2300027.05,485881.5012,1802427.431,1981496.37,1517987.123,1519232.343,2028452.565,141764.1773,1165030.288,2445804.168,4694730.724,216603.2724,1555798.23,215036.4634,972504.5324,623097.7411,2078600.171,1300890.73,1068901.929,5420912.184,1411177.564,2412415.791,1153489.835,1231657.661,987405.7495,1382296.819,711464.5274,1043834.887,495810.8112,85586.71192,2583535.035,1067591.126,1432763.136,2141259.53,3190378.691,1294766.581,946117.9512,2350401.406,989520.3258,154250.7927,1118474.377,3123029.967,1041173.19,1082987.059,1870053.811,247670.9226,2590250.884,1439852.341,984317.6808,1476701.162,1239846.215,783563.6684,1961918.209,1025288.392,217449.8351,4492598.84,969484.1367,1309142.126,1305277.963,2097276.999,2713893.751,2911993.285,1996964.064,601936.3775,1276446.507,2282110.384,408164.7422,3641403.25,4812316.744,1239952.181,2038666.114,2227776.251,4256394.724,354589.096,2037599.598,663522.2468,200310.4563,108420.0638,4235033.401,1050552.688,1531562.363,271181.4941,1545430.274,1303339.378,1028390.498,1495593.511,1419155.67,3637226.029,1447221.545,1254743.391,1287482.804
F250,1451615.35,2772105.92,2396419.177,807771.158,3207843.993,1537430.073,2632431.05,6805891.682,1047789.723,679597.42,535320.6031,750529.9975,3876156.771,1280356.006,427938.4093,402018.609,2305353.781,1950847.38,2661577.268,280359.5709,1279589.582,375722.7691,357295.9386,1842135.369,3100959.847,1061839.442,4022957.255,3435884.369,764511.7844,2503409.565,960779.1738,1068437.709,4462462.848,358258.3061,467552.2282,1318300.954,383988.219,NA,955135.2426,890005.4677,626140.2657,1605546.33,1529539.496,23325436.28,741996.5585,918216.2117,2970227.472,1038011.793,2061218.899,1687592.964,1605471.176,612064.0334,583055.0321,1753441.627,1712439.707,2140064.345,735434.9231,1845734.226,625777.0439,3254032.711,2537797.879,1758470.834,382077.7671,2850523.163,5558898.481,621698.3273,1033369.574,2187638.672,590478.0848,2504179.378,567815.1813,470290.824,883676.9818,1101324.7,442470.4188,1240347.548,1415501.226,218525.8052,2093779.373,510247.2683,1059724.913,382162.389,811958.0908,2873421.728,204479.6604,163178.982,726937.908,975017.8185,2040153.229,812867.1549,2441644.513,445154.3388,233872.4844,2320593.438,1341810.875,2136841.507,1313434.497,1373426.933,1123339.919
F251,6093465.797,6237876.18,2377355.151,259696.6619,2718388.37,1621734.318,979830.5135,1141798.505,3436596.111,546782.731,778824.3849,2124718.637,3012131.513,538476.2521,1190755.982,317601.7356,1240839.802,750188.1937,493245.3056,850761.7705,944311.0668,614955.8654,2182823.063,1771681.431,1262861.105,1390251.092,533649.4873,529597.0526,1423153.805,662735.0888,1369247.249,777006.0534,2955924.903,849465.495,804140.2736,553150.053,2851031.264,548419.8162,1424384.445,2430743.825,1553256.237,1475988.72,975405.3768,958151.6813,3849272.011,1636021.239,569608.0768,665230.445,524549.4468,507539.3487,965010.6912,870230.0711,1803046.307,642640.254,920644.1172,744864.6638,786282.2369,696526.1832,5586199.7,1431187.741,918631.3103,2752238.626,360922.2204,831768.3683,2393565.545,762030.752,936801.4926,417297.732,422998.9613,556938.3054,2045452.427,798857.1764,842466.8371,932749.3018,2946287.409,1052464.686,1220699.389,2050154.533,1978686.292,625972.386,337148.6054,568121.3772,347113.6662,2560331.781,733700.7735,981739.995,836980.0922,539451.6502,638308.9942,863242.5521,1058718.683,2294722.395,1356524.37,1922407.469,1592101.883,431256.1446,532438.0536,1134284.258,1029497.228
F252,331206.2034,566729.982,315600.2614,1245483.025,1160290.085,993109.4647,1423412.783,1224875.991,502733.5476,702437.0503,1259237.501,747567.7248,1252340.828,1351130.572,830136.4655,1308291.413,1129734.105,1141478.721,1639053.112,806854.0557,608174.4275,990961.9461,625445.7665,1119824.885,1460538.628,1746242.739,1757160.723,984725.1913,755062.3467,584484.6369,1109272.303,1114931.747,718677.5476,333170.409,983806.7364,1218172.632,621987.5601,575250.767,1675015.487,474160.5,780509.094,687519.123,842534.2983,1104999.468,782967.7225,862616.4292,1385526.516,2064769.199,1701292.179,1574332.176,1155917.788,702736.3941,773375.1004,1664838.019,1598820.953,1733291.662,546615.342,769287.8352,643307.5732,908093.174,662258.3515,557130.2924,557643.6576,1175727.198,1583315.027,251176.589,920846.4873,998366.4256,1158652.055,1276822.827,411191.484,745525.8415,790858.2388,846972.552,521281.9704,753024.8958,414462.1728,665010.0163,634583.9075,875050.0891,2458758.911,516707.9474,802001.706,974807.9328,1110997.365,909344.4755,469302.9727,859727.77,1151584.927,635334.1597,858230.2203,449900.0376,619740.594,534441.3964,555318.7288,1111817.831,698930.7372,634821.2841,754949.7675
F253,200611.606,516821.0225,666396.6948,208049.2824,382509.1359,285649.1862,259769.2476,234581.5456,482792.5869,397254.9482,676042.4274,454302.8114,321954.9511,380194.7274,285183.8893,110817.0993,228150.8689,868165.824,967496.814,617208.7582,1162801.197,384456.6522,458595.8646,401350.519,360773.5482,405993.7822,221703.1776,281420.4718,433415.4816,375540.3831,456649.9622,449779.2644,327914.5285,537703.4442,447754.524,526749.2318,219340.4911,75335.15931,423456.2548,815880.1062,406771.1304,475032.624,593101.1316,458454.5977,444001.044,337875.036,346787.3856,287522.0568,357622.4958,1204803.734,179398.4196,751950.8314,524155.3158,455977.6374,442393.2411,508047.8304,108412.9656,565277.6472,699530.6394,588427.2288,485762.9652,515631.1104,71124.92338,604428.3258,629684.6394,615069.1356,296115.5,251861.6826,374748.735,361725.4494,545428.2378,282167.5644,959860.6506,478515.9438,133368.9874,468522.9768,801452.916,1011746.124,710784.9,668321.5333,471034.4394,289887.8406,444345.285,297740.88,625639.5809,1059495.767,296897.8065,668947.0716,538734.0907,109312.4922,387844.1207,1002598.96,365606.8914,585326.0446,427401.837,381293.8329,289849.9242,353051.5082,313479.5491
F254,103706.6444,172591.1133,2823702.632,1540492.914,85472.5458,19738.4796,2001938.317,25002.72,95948.65219,102699.0023,59617.64073,69325.6655,80215.98471,46398.25217,2792518.332,1656472.663,1877375.35,30224.37167,3045167.308,127330.4133,26157.82714,51738.32569,131469.4687,84116.52353,2103115.018,2673539.52,1723806.924,2178968.252,2526635.987,2742461.615,69558.85754,47475.19127,90079.55083,172982.5992,3675826.686,85000.59518,3763352.135,522300.9176,26290.0344,63467.0646,3369874.78,1981743.069,1901730.617,2628325.762,73444.0668,3506071.432,27737.771,52842.25983,79201.81818,3034626.211,64694.11,1839135.368,59944.60985,116174.3116,67050.38836,68485.9986,119674.6378,1764325.957,27940.90473,1991938.933,33492.1548,100934.3855,664238.2938,2847763.128,51070.33018,358086.5727,2424770.941,763084.0324,2395651.948,1524365.165,67675.27556,3186944.193,2713465.339,53507.00218,1920489.939,2599023.766,5909199.631,100190.0958,87794.4264,161640.6066,927798.7021,NA,3658773.584,1943784.529,105655.7385,3962329.604,30223.843,29242.008,1749139.309,139333.8501,13157.9886,88278.09329,118584.3417,47674.476,63862.1934,3623791.122,2510101.5,97222.24443,63830.42909
F255,470700.5355,372018.0009,767925.4803,252669.5156,2493119.045,1012191.19,1713991.358,3819701.011,2169057.164,176634.0139,638609.9604,1160541.312,5964053.096,222685.0128,536959.4892,37939.11237,2443036.084,761838.9968,773117.3649,9718.240868,227504.7659,32014.00263,463934.7378,365921.1984,978086.4654,464359.7027,799885.9782,840832.241,636497.8876,368503.2349,775475.246,324689.16,732680.5488,234419.3827,183737.3396,491015.3389,607689.0129,676490.0888,1125323.004,362184.9956,1522909.024,2770624.892,2511920.434,3276853.752,292176.6148,661162.0308,723738.495,321320.3987,731080.3597,472109.8742,611283.2118,369514.3692,332206.6007,292690.2295,392675.0741,1000358.001,215265.8228,669216.8817,909256.179,1664173.745,1527122.922,2536171.511,25212.67214,690394.8759,2201123.544,1307783.733,915068.4108,1748544.261,244113.0831,1011198.672,177142.5191,251383.9666,115462.9864,480931.9108,345987.2567,556422.1881,553421.1695,78964.09714,869711.5366,440270.3402,534917.3556,191147.9468,130442.7753,3784553.329,21896.00023,80243.54036,532921.2233,221568.4746,1264135.405,134436.5867,549454.5533,402456.6432,255345.2078,1135073.158,548528.5397,464879.5295,385572.7431,531872.9772,517404.7755
F256,355595.4589,1484020.662,30545.02658,275958.3933,568358.2342,133826.9444,480852.7914,142609.0933,188900.6678,457450.8469,1043883.456,131026.5255,423432.3084,456861.6882,273811.287,103375.7644,396835.1075,125762.1863,358866.7524,361101.8244,931219.0323,614043.3396,234823.0089,1157489.66,612245.2084,1102329,102434.148,146825.8968,188967.2982,283530.1307,892309.5906,531225.7266,508773.231,245183.924,558020.6223,1315679.047,413727.792,132272.168,513214.2556,609005.2344,321486.6841,108562.8657,493600.6982,191962.4667,1135069.342,253922.4711,618855.516,647990.8133,211927.0022,362761.7891,581564.2082,333747.9304,538850.0211,741142.8906,966868.2,1077727.464,30265.84785,619524.3483,207953.4936,457367.3644,333543.7997,136672.7928,52292.45367,937987.8768,145210.5911,76943.50288,294265.0779,401147.5756,558077.0667,529234.3044,84756.1254,1069057.445,606278.5442,109100.445,340757.7254,104050.6251,157615.9622,421162.3834,180721.4597,221168.42,4839366.937,7549239.525,5694158.231,301725.468,1195424.29,991084.806,243346.7869,268955.9889,843717.8956,216762.399,705724.8698,367733.3079,65493.30775,179826.478,106858.5257,4283199.006,3192527.286,236079.5554,215606.8598
F257,348998.5321,428607.7892,216413.8185,741929.5957,972008.3348,1136490.076,2360375.04,159514.7406,241270.5734,749313.8748,997203.9472,1153878.926,NA,1313342.276,572364.4742,267081.3018,582451.8251,813506.1223,789606.3145,734711.1132,1028961.517,1275602.809,1156335.97,1810307.683,670547.4534,1215221.809,476875.2579,642379.976,1091275.493,670748.7227,1139086.321,1203237.338,93671.17964,485524.4494,600605.4046,2065038.898,2517063.251,276316.3759,370353.2968,650951.2389,1115442.855,1367984.901,1352810.706,1300561.639,777462.9481,1171238.797,1432444.741,795350.4787,821138.0283,855334.7777,770333.4762,719463.7228,1607572.461,1169887.78,1108831.027,1288069.321,267175.0851,1468660.169,261198.3487,714266.3519,686379.9166,712685.1066,92032.083,1748966.615,447338.9846,908321.3367,1074891.307,883677.0746,1455888.982,1147330.586,280876.4156,1396773.923,1002821.451,712949.0346,195796.2984,574316.9275,701194.32,954511.4287,1033360.191,747912.9636,8577776.809,10132339.7,8994707.014,209729.2033,1500630.688,1120092.364,1216720.156,866534.1822,2344221.532,644852.8569,982914.2232,1456521,725850.4524,303434.9712,493513.2423,7763809.383,6939262.819,946862.1981,1039979.999
F258,521341.0662,5058620.164,272527.1184,167105.393,148255.5367,691794.7693,401258.1525,225626.5272,310853.1548,27501.65552,275114.2036,146791.2617,664439.1097,116065.0938,83165.417,1510465.613,87347.008,112742.4846,734225.1785,241791.4132,160378.7582,458388.7439,1931689.433,525412.1412,373818.4794,169204.7723,38328.69071,837314.3594,412845.7368,245096.0829,2502756.071,NA,2862567.406,402316.1801,146583.0977,934362.6009,8825717.187,NA,1915115.975,598745.3731,129103.7033,4621364.482,180322.453,194693.7122,369767.9386,8167.05523,136065.9948,1307555.036,120253.056,172891.94,6542655.828,2344745.426,210380.8938,NA,298308.0558,375318.0942,7461583.8,130491.7523,534110.3664,361997.8488,589241.2091,1138542.322,495624.4447,2703957.08,245129.9491,166782.8755,279433.2552,63523.61089,4248552.916,73026.35778,1008133.042,794045.369,9631.617188,162990.088,147292.174,506348.9334,420611.5789,346845.2811,3794371.616,287217.0434,367407.6491,2907336.466,816839.2469,458405.2848,225140.0363,NA,137112.687,235595.4683,2099925.513,32640.1684,626799.0018,7406384.463,305490.9965,373870.671,349833.669,243869.4688,246949.4727,3196774.139,2862392.377
F259,925842.6552,4072.77359,2128393.67,315416.6557,665611.7822,1422141.391,235162.732,14568.14775,65792.9364,591542.7366,473292.4608,2048160.113,1319061.739,826819.9854,92281.68062,28657.33818,289016.7612,1080682.257,31621.66088,123906.804,1182522.581,277596.9569,7406613.523,242735.8038,331584.008,1283276.567,1088049.014,994177.2615,1503106.307,240345.1215,891444.7263,581880.4357,27150.138,1861321.888,498533.9169,1880804.108,1517648.911,71537.65656,809196.8418,2838021.586,1030709.65,850588.3964,300183.141,562537.6167,630488.0945,1236083.385,844969.4629,295176.885,572248.8037,83101.773,2145956.486,380614.8012,1110004.311,2169461.661,2717294.886,1729705.258,149280.5267,1020456.508,124546.6062,189626.7843,NA,90456.35047,8333.904,1187591.538,1671804.92,1948398.854,1832390.874,228723.4171,1169747.881,650132.5548,279537.3359,1360899.42,152599.8239,1703692.167,152393.0603,50241.2256,112816.0159,74554.97891,1757460.844,432241.7692,16881.74714,214224.0472,99583.4334,144176.1132,161140.9564,154082.0611,1609387.8,2055314.846,431439.5495,463402.6171,1569351.814,96675.61018,1057711.727,67016.2392,1512466.349,241292.0653,223171.9392,1500476.144,1371435.898
F260,1411945.815,435965.6003,1666391.238,281542.2414,503015.925,331658.8455,243309.1089,680441.7276,1394461.421,1728890.936,573875.8675,832863.8691,171116.6029,574038.8131,893874.141,265449.392,114803.4987,288243.4662,795312.4548,1117585.854,3960907.124,505794.0364,1338897.93,212311.884,1424835.89,1453687.908,285437.6526,465573.9811,579858.4986,1723613.585,1515481.589,439111.8429,705754.7892,5386358.694,1659848.688,1843185.603,1050841.284,1342895.917,382372.6505,2355839.401,654948.896,347608.9222,276113.2538,289046.6952,1285086.858,351409.6116,350621.3353,217044.7408,212908.4567,553176.3288,776934.9625,1532731.799,205653.5646,1700823.78,344871.6096,658384.3608,596395.0403,499965.1273,582281.1489,214541.1292,786888.3732,439876.5286,104079.5202,581433.492,578356.174,7310210.078,575173.053,119354.1778,263387.0295,152706.3054,1534384.516,2074886.034,3899113.5,295684.0608,352329.4273,777739.9641,738343.3331,1015944.969,621618.236,1414794.289,203860.9646,973695.2834,807592.5184,226471.6638,1570764.809,1572400.093,471198.6822,1298354.79,204282.9742,244704.9309,182930.445,2507401.554,562822.9834,812158.5084,1063946.275,722321.8717,516978.5804,565914.8203,393894.5214
