,33N,35N,36N,37N,42N,47N,54N,63N,64N,66N,77N,79N,84N,85N,86N,88N,92N,99N,100N,101N,107N,109N,110N,126N,2,4,5,6,7,8,10,12,13,14,23,24,25,27,29,49,50,69,70,71,72,73,90,93,98,106,114,112,115,118,119,120,121,34N,38N,39N,46N,53N,55N,56N,57N,58N,59N,62N,65N,67N,68,75N,78N,83N,89N,102N,103N,104N,108N,111N,1,16,18,21,41,48,51,60,74,91,94,97,113,117,122,Pool1,Pool1v2,Pool2,Pool2v2
Label,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,Pool,Pool,Pool,Pool
F10,4424406.97,19701791.79,646437.5069,3352068.415,7457679.443,1649053.526,6191739.171,2123260.89,2237226.151,6686116.958,13783546.08,1724209.088,4909423.818,5917960.91,3377109.605,1144858.757,5074040.16,1597793.744,4199038.396,4449096.384,12155867.7,7715687.554,2983713.544,15123820.31,8215553.32,14671226.71,2248011.523,2236135.739,2531538.194,3774620.775,11672102.53,6897588.809,6194327.814,5915968.236,7682736.015,17521575.02,6693495.123,1614306.619,6574842.245,7608397.562,3807018.433,1409209.955,5105513.689,2509520.898,15357687.66,2918095.479,7980669.556,8551030.641,83121.19141,4281741.069,7554413.563,4133253.208,6660326.472,9862597.553,12927666.24,14126888.61,592985.88,8010740.932,2385660.844,5990563.263,3928959.559,1155625.123,510952.4262,12502501.17,1859979.294,2335061.033,4582686.293,5299056.78,7119931.984,6830756.943,1292611.567,13990531.91,7606662.112,3767605.991,4340676.499,1260799.337,1920055.846,5170141.424,2441575.115,2734044.932,52739846.35,95682614.53,76152198.16,4277477.19,15887700.82,13344910.24,2960740.079,3314257.516,11226419.28,3240134.465,8953213.531,4352859.012,522396.9562,2159369.912,1634929.082,38287829.79,33149892.28,2383391.276,2613352.034
F11,26080064.92,38085302.6,2748042.638,20935262.58,15837035.7,28145490.81,9842498.531,26856524.69,13086657.99,41865763.65,44641886.31,9585312.445,24062776.45,29744257.33,18233180.2,22537079.23,16547496.73,19609268.91,48488805,31394466.89,85301879.1,33817659.69,79476183.88,22007854.01,21090886.74,85387414.5,21343033.38,57170405.79,15011552.54,25517512.11,33532816.98,20096894.13,7923530.984,63196408.83,42086534.2,28991423.02,39021710.52,18187459.34,45929409.47,20289851.99,25300668.82,6740675.075,8713426.704,7137447.246,28291370.3,20078035.77,56530240.42,16040665.56,17617747.18,43863548.7,49618907.09,28287702.07,32925140.83,47731234.76,21542306.55,73084853.97,42580160.11,22631988.7,16892835.69,31943898.47,23769240.85,21156097.29,12524044.11,26890635.17,4876674.776,76598916.55,52081651.18,19424273.41,29230032.54,60248119.96,5216316.649,37971411.41,35497920.39,21350136.14,9005148.991,18060352.62,38671460.41,19093188.56,30405138.21,117951302,10386284.52,22591765.22,57543681.74,18159437.15,50612014.11,29955608.36,12817078.17,34873267.5,20446338.89,68176630.15,34857213.88,12474585.21,36800891.16,46329935.77,39392234.55,31643663.45,22544852.15,23649961.44,21873081.27
F12,5897299.747,83281525.98,103505680.2,1206067.801,3215215.102,1764374.817,1931885.481,2456330.208,5549062.147,47640819.58,45913083.47,4053579.672,4374179.587,2535704.589,990742.5606,1475321.137,2150875.899,38882658.33,53846915.52,45895283.04,3749934.825,2914388.022,5087130.85,4183378.384,2806810.402,53854320.8,1855120.916,2389549.4,59034433.09,4719987.523,51282771.77,49494100.89,79720108.14,95438785.16,47647375.28,61223601.76,3673106.349,18165940.24,69418577.93,2623604.605,65938900.18,29159306.48,1769647.559,3876499.847,6503791.684,2248397.847,2279603.712,38012140.95,3698326.193,69347169.81,39572051.55,3357159.948,5084668.297,46010282.15,49686346.74,5996203.376,1870054.288,3307250.235,3818472.048,70676011.9,2133664.588,5225719.058,412058.2685,61272263.81,4580155.448,105488219.8,79468118.84,1453225.418,54784881.2,5130631.723,4486052.923,6287025.776,12539116.24,2981171.769,3117144.298,3730391.603,41405484.18,81942160.87,56232790.69,66772682.91,5613078.322,3262074.8,3140090.992,2901555.738,2745485.727,54776877.92,4363253.504,2026778.193,1430537.838,45551618.91,3439738.074,7756173.795,60713446.52,4844201.74,4940775.271,2210822.839,1818097.912,53871858.51,2922276.77
F13,5103528.482,2938553.31,16226378.73,1455372.698,16637595.59,16776152.71,2179944.401,1448348.825,31646080.24,8545432.036,19578052,21606061.42,4294897.982,3209348.16,15107672.93,1251720.858,2573844.607,5943960.082,31468964.79,9363137.68,27523991.71,2108034.1,44787577.42,6044430.932,5782679.042,11656076.33,1403396.72,8847692.205,8419574.096,20897464.21,18730475.31,2813129.678,18560235.88,33498807.13,31114567.21,9026334.606,9895220.516,20743032.37,18436119.53,18728776,31316836.07,5428151.886,1375136.03,2152688.67,9614008.512,8985690.893,2288070.098,1074016.015,1678201.816,26173556.33,2464068.592,41994747.96,5939592.901,6979395.475,24930413.37,4139041.783,33065478.5,4879543.187,27030958.93,2283998.352,78112183.26,39763139.22,1193713.028,5599966.218,24835618.09,56051922.17,5418516.958,1443933.346,3827737.468,2784089.498,26872172.93,15033528.91,102179556.3,7403246.946,4471567.861,37553475.68,46707556.55,40916140.72,18588704.95,56397564.79,2334256.08,2736870.745,3328599.375,4051227.402,5827000.334,5082123.753,9439942.928,27995115.25,2541376.704,3056239.683,20544734.46,66542994.69,30191100.92,35720800.61,20659922.34,5102627.766,3757832.351,8233992.839,7161927.254
F14,5580400.582,4289854.37,17051004.67,820201.8084,23024394.34,38792059.3,20714381.95,1099039.781,22619608.32,110456.9933,15184400.54,31814953.93,17442538.35,602824.3486,5973355.627,277657.9531,11172295.03,3634924.23,8112063.697,92807.04084,2005497.196,134965.5841,16688365.87,530079.2822,4234163.625,2423773.089,197879.3193,11519653.08,16456494.73,14322225.54,4058094.37,436320.586,2064977.168,1076784.85,3151186.841,1787117.504,15386892.75,12924921.48,3275694.429,1847185.075,31230957.23,20078115.83,5354809.257,12219764.66,4225105.727,12525257.57,731780.7802,157557.8103,407859.7302,6874048.888,1835517.41,20205599.14,1646673.439,145726.4422,2789651.63,1784994.191,191920.74,10191541.93,25803322.36,1411211.261,50141020.98,38368372.22,34411.1286,2562054.378,16860310.75,18801491.85,6000381.206,4755632.928,7781700.69,2386398.495,9879015.876,11817575.82,23457488.12,3696366.823,19360775.57,17395478.94,14941213.46,23670000.4,3912015.932,26370305.28,3852861.731,254251.7646,1395264.528,6844065.841,117911.2267,NA,20716962.72,5476269.985,14579330.9,196004.6234,9105328.7,33611583.19,307348.5895,11217758.08,8995862.642,4537100.69,6257314.048,4355017.64,4572198.676
F15,18158808.22,1987651.499,2138755.364,264689.2335,54854032.78,1556508.957,4531742.127,3022574.87,7114993.502,11803043.26,8977958.519,13561185.87,6590505.627,17964334.87,20671242.61,1615398.158,385481.1113,6809832.272,38423063.38,3726597.463,12877767.59,2506118.555,19687950.6,2733292.498,1335215.997,6311848.562,744125.361,322870.9273,4006161.719,8299531.635,489229.2025,12814218.53,1712743.933,88405829.02,1820056.955,1979750.732,3192351.422,155933246,9764003.743,9677543.143,3380337.409,1643204.195,761975.4683,3323182.138,3873657.219,314090.9918,6125646.545,481012.224,1444356.77,37372364.64,15123221.87,31329132.67,3154123.839,12531700.75,22993189.84,15863567.2,24826368.74,3260447.34,1931757.763,749265.3512,3039364.291,52260688.24,753033.6614,60711045.9,6420884.589,5873530.463,20688805.12,1252287.761,12328182.2,2099327.861,17016575.08,19250559.48,6351219.583,9286858.338,59278943.97,20903447.44,4545309.215,89554323.74,3503370.218,14006639.31,21152230.76,15178589.48,36452843.92,1895420.686,6871248.41,40528447.51,2601178.466,70560567.05,7886613.031,698336.6518,65378569.85,16232606.9,23756673.81,22338138.53,29974735.26,19071832.97,10212435.11,10259464.28,6451035.407
F16,3668583.322,83281525.98,5500470.284,690362.853,2033573.972,1077417.455,1108636.9,43714691,73046115.39,45573737.05,43902118.33,63887429.71,2766072.224,42336293.21,569157.0936,858746.592,41285798.5,1134600.051,2012918.815,952656.0928,2615306.4,1737002.137,3403397.034,54431003.97,33506870.03,51387739.41,1038063.156,1404474.344,1609438.429,4024998.479,48987193.53,1289039.86,73262104.73,91969762.25,47647375.28,61223601.76,2248741.86,18165940.24,69418577.93,48662390.58,2063938.237,707426.9476,956177.2335,2607956.779,4108372.379,1352360.227,1342353.349,38012140.95,2147613.832,65107784.59,1298525.077,2126515.962,85013655.85,46010282.15,49686346.74,55343030.06,1171254.239,1962258.759,2490029.128,67731500.84,40219835.85,3459162.234,227471.0758,61272263.81,74559176.23,101815107.8,3180834.311,860426.6822,54784881.2,3164102.626,2882605.286,4252369.578,12163596.09,1892954.37,1891834.539,2295718.012,41405484.18,3813484.916,1930887.153,63353201.83,3624357.058,2051257.498,1718909.609,1759819.58,72245778.37,1208045.105,2629431.535,66715154.78,911767.2369,1363468.322,2085858.032,4982285.502,1662913.663,3007765.09,3213985.559,1367404.049,1091728.199,1791492.164,1795632.076
F17,7884043.33,1614029.306,7181679.276,1486853.71,1113148.673,1631037.664,1008845.3,939521.5244,4293267.158,5071111.955,5836563.5,1806073.859,1999123.609,3240042.869,799947.7562,322746.2979,1281812.184,5089174.951,10047885.64,11756612.38,9902503.368,2081022.059,1507611.348,4765198.853,3037283.392,2344500.396,1660655.436,1171203.418,4802022.073,3251873.52,2292008.626,4269741.896,1344182.279,14283808.51,5074066.184,3873832.608,3168929.829,1300171.38,1908347.995,8661667.572,5545082.336,1950948.508,1234172.154,2942863.738,6719671.035,2563979.648,3403033.34,2066771.078,1333944.511,10656936.43,1431065.714,3418480.458,5127297.736,7467929.174,4735774.618,4438431.747,1235117.029,5497930.167,6761044.949,2106083.859,2940044.641,5265963.337,504163.8151,7725327.806,5723085.707,9741899.793,4728012.315,129392.0727,3409108.425,1161619.714,9682761.37,1257447.653,13197626.83,3505994.328,703322.2794,3341955.487,6423073.083,11489294.37,2174769.767,2223581.702,1540024.599,3723223.467,8854634.397,1601324.561,7404580.729,11530671.59,3887809.702,5741367.989,2553184.541,3325669.675,4897663.384,1924291.225,6824204.159,5866374.623,3127627.129,2846396.122,2558847.448,2173684.555,2269606.671
F18,10894682.66,3470217.062,12841741.61,1263932.3,3807936.608,5703639.485,4137743.084,936481.3004,18034953.05,11584467.75,7386615.027,4268458.311,5301957.974,7228953.958,7853599.95,1542584.003,2287004.497,8899865.454,13935516.58,10561705.17,16862596.49,5424961.107,18173274.64,3601146.942,2435520.518,5149097.697,2671982.473,6265693.53,4790007.223,15042874.79,5869137.661,2838312.969,6066332.425,14808825.26,11415933.23,9289764.091,8705090.636,11638845.38,4733090.703,15713301.8,7525346.579,7277249.318,3637787.52,4724396.726,5187893.21,7633164.649,3335570.889,3017874.075,3720733.905,14893977,8378243.369,17440483.32,10474271.79,10961885.78,5937445.621,10377036.34,12214151.19,6968629.703,19059967.18,1740632.166,15331600.6,15677492.54,1170029.26,6080839.258,8593121.691,16626210.84,10040278.11,2136740.826,6344108.189,2125091.245,20054172.54,7667455.67,24299718.75,9570320.548,7490211.665,16452089.13,19824977.88,25409957.86,13323766.9,18537544.49,3692416.328,12863996.13,12425426.77,5837783.559,16007090.07,16982116.7,8439225.252,19282757.4,3998542.831,2111532.386,6309461.747,23853557.95,13756388.83,21435967.02,17999904.89,9904368.414,8532399.334,9069423.276,7689117.005
F19,7266697.719,7799466.626,7232241.596,4446075.266,3768744.656,7950950.534,3038662.935,6655434.58,3349936.067,6802976.213,11351746.97,6579206.762,5890674.159,7264338.981,4946092.928,12214541.69,3301110.828,4473398.591,10270865.9,8618044.337,15733076.23,10594611.17,25660371.96,6083487.49,12560123.8,20187345.04,3481752.9,19439599.41,4625796.678,13057379.88,9453331.04,5692949.493,1256335.91,12307569.53,12389263.31,6227831.199,11388408.18,7050832.966,28722110.21,4019078.927,7455853.574,3263774.864,1975266.832,7933464.774,7046973.404,7152128.236,10637470.23,5657370.166,24356.39441,8548670.662,6727155.476,10430241.04,12215034.74,9904738.136,4994281.56,19868854.17,8330767.81,8559184.042,4737431.278,8557731.115,4547657.347,5576076.413,20057.84467,4675919.686,3282504.512,12848150.47,12424150.53,2271018.743,8775352.444,11770360.97,4588023.878,23831593.06,8736688.522,5167586.251,3141651.5,6072000.433,12213057.92,11761409.15,17056660.28,31866981.6,3498900.214,6100519.877,14935949.51,7293743.737,15903648.63,9061949.242,19876256.17,7206828.3,2703036.57,13840621.38,7178665.21,6982175.678,18980384.54,22596635.79,11293146.39,10701170.07,8380379.555,10044824.22,9550019.999
